202069	202089	202072	
202106	202038	202003	
202005	202042	202038	
202085	202044	202008	
202101	202038	202047	
202007	202048	202075	
202006	202048	202013	
202033	202013	202007	
202034	202014	202081	
202067	202058	202068	
202040	202025	202057	
202008	202033	202007	
202052	202010	202034	
202078	202059	202035	
202053	202038	202025	
202061	202062	202030	
202070	202080	202058	
202030	202066	202092	
202024	202004	202029	
202028	202060	202080	
202062	202041	202071	
202029	202097	202007	
202020	202029	202004	
202053	202040	202016	
202076	202060	202074	
202094	202044	202024	
202038	202063	202021	
202075	202007	202024	
202017	202066	202091	
202034	202032	202080	
202074	202031	202076	
202008	202013	202108	
202052	202010	202014	
202044	202078	202056	
202057	202016	202053	
202047	202098	202101	
202028	202016	202053	
202084	202048	202061	
202053	202025	202012	
202017	202061	202048	
202003	202005	202105	
202059	202032	202060	
202004	202035	202045	
202056	202008	202050	
202067	202056	202045	
202101	202037	202005	
202006	202007	202039	
202066	202087	202001	
202073	202032	202028	
202077	202025	202082	
202034	202014	202010	
202016	202025	202040	
202050	202073	202044	
202045	202102	202088	
202036	202016	202012	
202064	202096	202074	
202065	202099	202043	
202076	202028	202021	
202017	202041	202070	
202077	202108	202017	
202076	202028	202060	
202076	202080	202058	
202059	202054	202044	
202030	202019	202092	
202064	202011	202046	
202032	202011	202031	
202072	202082	202001	
202089	202018	202061	
202025	202062	202022	
202082	202069	202077	
202050	202032	202054	
202076	202032	202026	
202029	202006	202007	
202063	202064	202026	
202062	202051	202072	
202035	202075	202015	
202039	202070	202090	
202086	202064	202076	
202014	202010	202034	
202072	202051	202010	
202057	202012	202036	
202039	202048	202006	
202004	202054	202020	
202080	202052	202021	
202066	202019	202062	
202102	202056	202059	
202070	202017	202077	
202058	202096	202011	
202030	202006	202017	
202095	202019	202066	
202071	202069	202077	
202027	202044	202054	
202092	202019	202077	
202058	202090	202074	
202048	202023	202007	
202037	202047	202101	
202059	202043	202073	
202078	202084	202075	
202047	202005	202037	
202088	202056	202022	
202108	202033	202091	
202042	202014	202081	
202002	202037	202047	
202007	202019	202033	
202062	202016	202053	
202053	202012	202040	
